long_name,short_name,show
None,LC-None,Yes
ASH In-Ear,LC-ASH-IE,Yes
ASH Over/On-Ear,LC-ASH-OE,Yes
ISO 226:2003 100 Phons Adjusted (50%),LC-ISO100-50,Yes
ISO 226:2003 100 Phons Adjusted (75%),LC-ISO100-75,Yes
ISO 226:2003 100 Phons Adjusted,LC-ISO100,Yes
ISO 226:2003 80 Phons Adjusted (50%),LC-ISO80-50,Yes
ISO 226:2003 80 Phons Adjusted (75%),LC-ISO80-75,Yes
ISO 226:2003 80 Phons Adjusted,LC-ISO80,Yes
ASH In-Ear (Reduced),LC-ASH-IE-R,Yes
ASH Over/On-Ear (Legacy v3.7.0),LC-ASH-OE-v37,Yes
ASH Over/On-Ear (Legacy v4.1.0),LC-ASH-OE-v41,No
